Crop,Employee ID,Status,Inquiry Type,Inquiry Topic,Product Segment,Date,# of Inquiry,# of Inquirer,Resolution Time (min),Assigned Team,Source,Gender,State,Township
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,8.67,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,33.67,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,15.67,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Groundnut,50584,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,21.33,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,6.67,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Chili,50584,Solved,Farming Practices,General Preventions,Farming Information,9/6/2022,1,1,27.67,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Rice,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/6/2022,1,1,10.33,Contact Center Team,Messenger,Female,Shan (South),Kyaiklat
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/7/2022,1,1,29,Contact Center Team,Messenger,Female,Shan (South),Magway
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/7/2022,1,1,31.67,Contact Center Team,Messenger,Female,Shan (South),Magway
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/7/2022,1,1,25,Contact Center Team,Messenger,Female,Shan (South),Magway
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/7/2022,1,1,35.33,Contact Center Team,Messenger,Female,Shan (South),Magway
Groundnut,50584,Solved,Farming Practices,General Preventions,Farming Information,9/7/2022,1,1,29.33,Contact Center Team,Messenger,Female,Shan (South),Magway
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/7/2022,1,1,18.67,Contact Center Team,Messenger,Female,Shan (South),Magway
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/7/2022,1,1,31.67,Contact Center Team,Messenger,Female,Shan (South),Magway
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/8/2022,1,1,28.33,Contact Center Team,Messenger,Female,Shan (South),Kamma
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/8/2022,1,1,34,Contact Center Team,Messenger,Male,Shan (South),Letpadan
Rice,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/8/2022,1,1,13,Contact Center Team,Messenger,Female,Shan (South),Kamma
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/8/2022,1,1,23.67,Contact Center Team,Messenger,Male,Shan (South),Letpadan
Rice,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/8/2022,1,1,23.67,Contact Center Team,Messenger,Female,Shan (South),Kamma
Sesame,50584,Solved,Farming Practices,General Preventions,Farming Information,9/8/2022,1,1,19,Contact Center Team,Messenger,Male,Shan (South),Letpadan
Rice,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/8/2022,1,1,16.67,Contact Center Team,Messenger,Female,Shan (South),Kamma
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/8/2022,1,1,24,Contact Center Team,Messenger,Female,Shan (South),Kamma
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/8/2022,1,1,4,Contact Center Team,Messenger,Male,Shan (South),Letpadan
Groundnut,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/8/2022,1,1,23,Contact Center Team,Messenger,Female,Shan (South),Kamma
Tomato,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/8/2022,1,1,16.33,Contact Center Team,Messenger,Female,Shan (South),Kamma
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/8/2022,1,1,25,Contact Center Team,Messenger,Male,Shan (South),Letpadan
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/8/2022,1,1,16.33,Contact Center Team,Messenger,Male,Shan (South),Letpadan
Groundnut,50584,Solved,Farming Practices,General Preventions,Farming Information,9/8/2022,1,1,32,Contact Center Team,Messenger,Male,Shan (South),Letpadan
Rice,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/9/2022,1,1,30,Contact Center Team,Messenger,Female,Shan (South),Yamethin
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/9/2022,1,1,32,Contact Center Team,Messenger,Female,Shan (South),Kyaukpadaung
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/9/2022,1,1,24,Contact Center Team,Messenger,Female,Shan (South),Kyaukpadaung
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,24,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Rice,50584,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,33.33,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,13.67,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Rice,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/12/2022,1,1,12.33,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/12/2022,1,1,20.33,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,12.33,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Rice,50584,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,9.67,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,5,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/12/2022,1,1,32.33,Contact Center Team,Messenger,Female,Shan (South),Myanaung
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,23.33,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,26,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Rice,50584,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,23.67,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,24,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,10,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/13/2022,1,1,17.67,Contact Center Team,Messenger,Female,Shan (South),Gyobingauk
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,1,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,56,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,23.67,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,13.33,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/13/2022,1,1,20,Contact Center Team,Messenger,Female,Shan (South),Dedaye
Rice,50584,Solved,Farming Practices,General Preventions,Farming Information,9/15/2022,1,1,30.33,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Rice,50584,Solved,Farming Practices,General Preventions,Farming Information,9/15/2022,1,1,6,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Rice,50584,Solved,Farming Practices,General Preventions,Farming Information,9/15/2022,1,1,47,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/15/2022,1,1,20,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/15/2022,1,1,16,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Green gram,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/15/2022,1,1,39,Contact Center Team,Messenger,Female,Shan (South),Pyay
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/15/2022,1,1,41,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/15/2022,1,1,46,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Groundnut,50584,Solved,Farming Practices,General Preventions,Farming Information,9/15/2022,1,1,34,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Groundnut,50584,Solved,Farming Practices,General Preventions,Farming Information,9/15/2022,1,1,19.67,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/15/2022,1,1,20,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/15/2022,1,1,25.33,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Onion,50584,Solved,Farming Practices,General Preventions,Farming Information,9/15/2022,1,1,24.33,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Rice,50584,Solved,Farming Practices,General Preventions,Farming Information,9/15/2022,1,1,18.33,Contact Center Team,Messenger,Female,Shan (South),Shwedaung
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/16/2022,1,1,12.67,Contact Center Team,Messenger,Female,Shan (South),Hinthada
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/16/2022,1,1,18.67,Contact Center Team,Messenger,Female,Shan (South),Kyaukpadaung
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/16/2022,1,1,24.33,Contact Center Team,Messenger,Female,Shan (South),Kyaukpadaung
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/19/2022,1,1,33,Contact Center Team,Messenger,Female,Shan (South),Ngapudaw
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/19/2022,1,1,19.33,Contact Center Team,Messenger,Female,Shan (South),Ngapudaw
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/19/2022,1,1,8.33,Contact Center Team,Messenger,Female,Shan (South),Ngapudaw
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/20/2022,1,1,23,Contact Center Team,Messenger,Female,Shan (South),Minhla
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/20/2022,1,1,14.33,Contact Center Team,Messenger,Female,Shan (South),Minhla
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/21/2022,1,1,15,Contact Center Team,Messenger,Male,Shan (South),Wakema
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/21/2022,1,1,31.67,Contact Center Team,Messenger,Female,Shan (South),Kyaiklat
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/21/2022,1,1,25.33,Contact Center Team,Messenger,Male,Shan (South),Wakema
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/21/2022,1,1,24.33,Contact Center Team,Messenger,Male,Shan (South),Wakema
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/22/2022,1,1,25.67,Contact Center Team,Messenger,Female,Shan (South),Myitkyina
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/22/2022,1,1,12,Contact Center Team,Messenger,Female,Shan (South),Myitkyina
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/22/2022,1,1,12,Contact Center Team,Messenger,Female,Shan (South),Myitkyina
Green gram,50584,Solved,Farming Practices,General Preventions,Farming Information,9/22/2022,1,1,13.67,Contact Center Team,Messenger,Female,Shan (South),Myitkyina
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/22/2022,1,1,25,Contact Center Team,Messenger,Female,Shan (South),Myitkyina
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/22/2022,1,1,21,Contact Center Team,Messenger,Female,Shan (South),Myitkyina
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/22/2022,1,1,36,Contact Center Team,Messenger,Female,Shan (South),Myitkyina
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/22/2022,1,1,21,Contact Center Team,Messenger,Female,Shan (South),Myitkyina
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/22/2022,1,1,41.33,Contact Center Team,Messenger,Female,Shan (South),Myitkyina
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/22/2022,1,1,23.67,Contact Center Team,Messenger,Female,Shan (South),Myitkyina
Rice,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/23/2022,1,1,12.33,Contact Center Team,Messenger,Female,Shan (South),Hinthada
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/23/2022,1,1,17,Contact Center Team,Messenger,Female,Shan (South),Paungde
Non Service Crops,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/23/2022,1,1,16,Contact Center Team,Messenger,Female,Shan (South),Hinthada
Non Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/23/2022,1,1,17.33,Contact Center Team,Messenger,Female,Shan (South),Paungde
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/26/2022,1,1,21.67,Contact Center Team,Messenger,Female,Shan (South),Okpho
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/26/2022,1,1,5,Contact Center Team,Messenger,Female,Shan (South),Okpho
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/26/2022,1,1,14.33,Contact Center Team,Messenger,Female,Shan (South),Okpho
Groundnut,50584,Solved,Farming Practices,General Preventions,Farming Information,9/26/2022,1,1,6.67,Contact Center Team,Messenger,Female,Shan (South),Okpho
Groundnut,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/26/2022,1,1,20.33,Contact Center Team,Messenger,Female,Shan (South),Hinthada
Rice,50584,Solved,Crop Protection,P&D diagnosis request,Farming Information,9/26/2022,1,1,21,Contact Center Team,Messenger,Female,Shan (South),Hinthada
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/26/2022,1,1,28.33,Contact Center Team,Messenger,Female,Shan (South),Okpho
Service Crops,50584,Solved,Farming Practices,General Preventions,Farming Information,9/26/2022,1,1,17,Contact Center Team,Messenger,Female,Shan (South),Okpho
